"","edad_gama","Fecha","ingresos","trend"
"497","25-29",Sep 2023,1003.87223515681,946.504670630371
"511","35-50",Apr 2003,633.445375917684,612.358890294683
"513","35-50",May 2003,657.170353314388,632.881009104468
"515","35-50",Jun 2003,667.477215700588,648.270731349168
"517","35-50",Jul 2003,679.427072565793,661.060478049622
"519","35-50",Aug 2003,688.856947273219,672.377057192379
"521","35-50",Sep 2003,704.133569692398,682.545294130407
"523","35-50",Oct 2003,675.291718917539,691.436152924866
"525","35-50",Nov 2003,674.463556296695,698.950182220548
"527","35-50",Dec 2003,719.161972276361,705.736284179097
"529","35-50",Jan 2004,713.028052317792,712.062387570013
"531","35-50",Feb 2004,716.539271013085,717.572235199035
"533","35-50",Mar 2004,719.483241240495,723.266842406165
"535","35-50",Apr 2004,730.956353062381,729.478006386345
"537","35-50",May 2004,739.996079266071,735.585078291524
"539","35-50",Jun 2004,747.51793675407,741.882112782577
"541","35-50",Jul 2004,751.212832894308,748.449365070499
"543","35-50",Aug 2004,749.307530041235,754.991264861044
"545","35-50",Sep 2004,780.353559895492,761.188062448026
"547","35-50",Oct 2004,748.13966423878,767.274944363772
"549","35-50",Nov 2004,748.185336699752,772.884690745419
"551","35-50",Dec 2004,796.569019658568,778.101564519613
"553","35-50",Jan 2005,793.235059845709,783.844529512254
"555","35-50",Feb 2005,793.337858458246,790.310060190913
"557","35-50",Mar 2005,791.407795882907,796.289513720425
"559","35-50",Apr 2005,805.11696439786,801.596931040899
"561","35-50",May 2005,800.469381090133,806.890440739818
"563","35-50",Jun 2005,812.24960551065,812.25627359374
"565","35-50",Jul 2005,824.312323961121,816.884004667056
"567","35-50",Aug 2005,831.380775262238,819.191057257901
"569","35-50",Sep 2005,841.787199382774,820.438659232666
"571","35-50",Oct 2005,814.084040442885,823.299897122459
"573","35-50",Nov 2005,809.28519326969,827.969232962336
"575","35-50",Dec 2005,864.24915158276,832.697444745751
"577","35-50",Jan 2006,836.620473681099,836.570570217599
"579","35-50",Feb 2006,805.321706803136,839.910226188803
"581","35-50",Mar 2006,809.366394932379,844.320890465552
"583","35-50",Apr 2006,855.828074703434,849.250686485155
"585","35-50",May 2006,861.82233094161,853.85465818654
"587","35-50",Jun 2006,864.373738461128,858.943329690787
"589","35-50",Jul 2006,865.143202334993,864.471720381946
"591","35-50",Aug 2006,870.701640197253,871.5603257129
"593","35-50",Sep 2006,908.322277089745,879.92107807291
"595","35-50",Oct 2006,865.86406720638,886.747749162244
"597","35-50",Nov 2006,868.000487339448,891.84923283615
"599","35-50",Dec 2006,927.661973614931,896.463773305737
"601","35-50",Jan 2007,905.889028236732,901.269357651534
"603","35-50",Feb 2007,906.179680190401,906.66544533688
"605","35-50",Mar 2007,909.166478185347,911.953754358329
"607","35-50",Apr 2007,919.868097594479,916.805135534655
"609","35-50",May 2007,920.21791622431,921.001027433992
"611","35-50",Jun 2007,916.727124448521,925.205983116824
"613","35-50",Jul 2007,928.123840646725,930.279535848256
"615","35-50",Aug 2007,937.227106333829,935.463977792929
"617","35-50",Sep 2007,968.716227467946,940.25614869826
"619","35-50",Oct 2007,921.903265059994,944.415822572272
"621","35-50",Nov 2007,912.662695069929,948.493546245945
"623","35-50",Dec 2007,983.918702272411,952.533648279026
"625","35-50",Jan 2008,971.397565133629,956.342879219208
"627","35-50",Feb 2008,965.097749965655,960.093679149083
"629","35-50",Mar 2008,965.260510138044,963.712413317152
"631","35-50",Apr 2008,963.60623861807,967.120671783095
"633","35-50",May 2008,974.345143368872,970.93368168125
"635","35-50",Jun 2008,959.562346097898,976.155519869204
"637","35-50",Jul 2008,976.710161561722,981.932131561665
"639","35-50",Aug 2008,978.65998373583,988.020479703834
"641","35-50",Sep 2008,1014.1329700996,994.960804072782
"643","35-50",Oct 2008,958.28472561097,1002.94466381666
"645","35-50",Nov 2008,967.793472074665,1011.47899072378
"647","35-50",Dec 2008,1054.11204177856,1020.45605517195
"649","35-50",Jan 2009,1039.84290624656,1030.19113227745
"651","35-50",Feb 2009,1042.77276426477,1040.35044720427
"653","35-50",Mar 2009,1054.1532806937,1050.31854965486
"655","35-50",Apr 2009,1066.32610191541,1060.29560225516
"657","35-50",May 2009,1076.44912584238,1070.51427493124
"659","35-50",Jun 2009,1072.90791038065,1080.6141033228
"661","35-50",Jul 2009,1097.00644781095,1090.39501466185
"663","35-50",Aug 2009,1102.18725573026,1099.36330785877
"665","35-50",Sep 2009,1129.84015691929,1107.94375310981
"667","35-50",Oct 2009,1082.02680119856,1116.6259466102
"669","35-50",Nov 2009,1089.29954071287,1124.55266876195
"671","35-50",Dec 2009,1175.00185453786,1131.99912184643
"673","35-50",Jan 2010,1153.69496562442,1138.93292416712
"675","35-50",Feb 2010,1144.15974161297,1145.12505850591
"677","35-50",Mar 2010,1158.69698937047,1153.18317027268
"679","35-50",Apr 2010,1170.1550372481,1162.35302890558
"681","35-50",May 2010,1162.86152215163,1170.31530907595
"683","35-50",Jun 2010,1165.2103880988,1178.60244389633
"685","35-50",Jul 2010,1171.11522578956,1186.79827789841
"687","35-50",Aug 2010,1176.68970188244,1193.82692086214
"689","35-50",Sep 2010,1248.73239316963,1200.33209441205
"691","35-50",Oct 2010,1183.21117213774,1206.11312862647
"693","35-50",Nov 2010,1179.20989386276,1212.10834432674
"695","35-50",Dec 2010,1283.98273707713,1218.82729430096
"697","35-50",Jan 2011,1241.41409913501,1226.10555928174
"699","35-50",Feb 2011,1225.12803923178,1234.13277833948
"701","35-50",Mar 2011,1233.85285694953,1241.93423424742
"703","35-50",Apr 2011,1233.74399081512,1248.91654032713
"705","35-50",May 2011,1243.1577453911,1255.41538542521
"707","35-50",Jun 2011,1246.16896424061,1261.33959108843
"709","35-50",Jul 2011,1264.83500918649,1267.27099565975
"711","35-50",Aug 2011,1275.62317587129,1273.83201649446
"713","35-50",Sep 2011,1337.03386097142,1281.22700623542
"715","35-50",Oct 2011,1262.48505024897,1289.67879333622
"717","35-50",Nov 2011,1255.90829810528,1298.14252946864
"719","35-50",Dec 2011,1349.46526875207,1306.21904056706
"721","35-50",Jan 2012,1318.28527717165,1314.55122248437
"723","35-50",Feb 2012,1305.72136122831,1322.67903053038
"725","35-50",Mar 2012,1330.73928873606,1330.18102036945
"727","35-50",Apr 2012,1339.7004494477,1337.73193565601
"729","35-50",May 2012,1340.33095393664,1346.02151681779
"731","35-50",Jun 2012,1342.832022057,1355.60357928016
"733","35-50",Jul 2012,1368.14431738551,1365.35857795959
"735","35-50",Aug 2012,1367.38126077663,1374.39167648354
"737","35-50",Sep 2012,1425.32353220377,1382.82021810627
"739","35-50",Oct 2012,1355.4173458941,1390.69066486475
"741","35-50",Nov 2012,1361.92595034274,1398.51215621195
"743","35-50",Dec 2012,1473.41711561149,1405.9896129091
"745","35-50",Jan 2013,1428.45339861856,1412.70896817867
"747","35-50",Feb 2013,1412.34760435618,1419.65480637885
"749","35-50",Mar 2013,1426.39804455375,1427.543296133
"751","35-50",Apr 2013,1432.93241583365,1435.951749883
"753","35-50",May 2013,1434.81477988345,1444.0751177873
"755","35-50",Jun 2013,1427.80715684184,1451.02836347454
"757","35-50",Jul 2013,1444.43370907016,1457.21666733997
"759","35-50",Aug 2013,1457.79198589647,1462.99895051411
"761","35-50",Sep 2013,1524.23656118336,1467.84606463139
"763","35-50",Oct 2013,1458.30720691463,1471.64665791577
"765","35-50",Nov 2013,1453.9969190253,1475.03384403971
"767","35-50",Dec 2013,1548.22404342281,1478.78389373742
"769","35-50",Jan 2014,1502.1657635776,1482.83041675387
"771","35-50",Feb 2014,1477.41003557643,1486.82189995247
"773","35-50",Mar 2014,1477.66635214827,1490.18229166372
"775","35-50",Apr 2014,1472.87834706434,1492.15654624558
"777","35-50",May 2014,1476.16131562718,1493.93726427419
"779","35-50",Jun 2014,1476.46181384317,1497.22293616233
"781","35-50",Jul 2014,1492.8956044637,1500.6681840572
"783","35-50",Aug 2014,1505.12568726934,1503.4071031048
"785","35-50",Sep 2014,1557.55226088031,1506.55985397113
"787","35-50",Oct 2014,1472.37361718232,1510.19882726822
"789","35-50",Nov 2014,1482.66774144429,1513.62720129812
"791","35-50",Dec 2014,1598.40934631915,1516.54437830939
"793","35-50",Jan 2015,1534.66641015813,1519.6047623256
"795","35-50",Feb 2015,1510.64344613838,1522.03830268483
"797","35-50",Mar 2015,1520.09896237822,1523.75430102056
"799","35-50",Apr 2015,1517.78109596448,1526.51774115993
"801","35-50",May 2015,1513.53954344459,1529.59216453797
"803","35-50",Jun 2015,1509.0958342964,1531.51322709107
"805","35-50",Jul 2015,1533.71080039945,1532.57320800033
"807","35-50",Aug 2015,1522.71545995503,1533.4307091637
"809","35-50",Sep 2015,1581.14644825212,1534.65937562866
"811","35-50",Oct 2015,1515.10199315544,1536.031890705
"813","35-50",Nov 2015,1513.72552654413,1536.7834117811
"815","35-50",Dec 2015,1613.45706249362,1537.47010235777
"817","35-50",Jan 2016,1545.05823580592,1538.20778595446
"819","35-50",Feb 2016,1520.83164841159,1539.19304727109
"821","35-50",Mar 2016,1539.39875526411,1540.61334625129
"823","35-50",Apr 2016,1531.42166491072,1541.72477767068
"825","35-50",May 2016,1517.93548032474,1542.72988642003
"827","35-50",Jun 2016,1521.1804712564,1544.58398894185
"829","35-50",Jul 2016,1539.33056975994,1546.90713476846
"831","35-50",Aug 2016,1540.74196219371,1548.58272722899
"833","35-50",Sep 2016,1597.20712153821,1549.79140636694
"835","35-50",Oct 2016,1525.71567393466,1551.60807332552
"837","35-50",Nov 2016,1527.23445574926,1554.50874128861
"839","35-50",Dec 2016,1644.44659381223,1557.92658870249
"841","35-50",Jan 2017,1569.82420432591,1561.05162442656
"843","35-50",Feb 2017,1536.27989894439,1563.68856200413
"845","35-50",Mar 2017,1552.9588040422,1566.75069582995
"847","35-50",Apr 2017,1561.46162313833,1570.0801138599
"849","35-50",May 2017,1557.51155321148,1573.4280293009
"851","35-50",Jun 2017,1563.63273630278,1576.33675219303
"853","35-50",Jul 2017,1571.87916209118,1578.30471761415
"855","35-50",Aug 2017,1571.47987172423,1580.34679486494
"857","35-50",Sep 2017,1639.96042382723,1583.71729213235
"859","35-50",Oct 2017,1562.86840436453,1587.17971884655
"861","35-50",Nov 2017,1570.4316959033,1589.4575461011
"863","35-50",Dec 2017,1671.05870306927,1591.14317343947
"865","35-50",Jan 2018,1590.44326517589,1592.70054348004
"867","35-50",Feb 2018,1564.67069211341,1594.05780755556
"869","35-50",Mar 2018,1605.45994529101,1595.61699511696
"871","35-50",Apr 2018,1592.05872303014,1597.75798117972
"873","35-50",May 2018,1581.58230742893,1599.55444182516
"875","35-50",Jun 2018,1580.01703820627,1601.56350537714
"877","35-50",Jul 2018,1592.87174116138,1603.83592008779
"879","35-50",Aug 2018,1583.06163046652,1605.73836906947
"881","35-50",Sep 2018,1665.79916655848,1607.22240784593
"883","35-50",Oct 2018,1588.41332713962,1608.61426090157
"885","35-50",Nov 2018,1588.00182861878,1610.22043190982
"887","35-50",Dec 2018,1701.70609560119,1611.83512248599
"889","35-50",Jan 2019,1614.33382569953,1613.26728679595
"891","35-50",Feb 2019,1586.43890715018,1614.54129119717
"893","35-50",Mar 2019,1619.30866088939,1615.74386494689
"895","35-50",Apr 2019,1611.61448076703,1616.32768618037
"897","35-50",May 2019,1600.57465389001,1616.72738467713
"899","35-50",Jun 2019,1599.77726557336,1617.38912343386
"901","35-50",Jul 2019,1607.48345723335,1617.74876964447
"903","35-50",Aug 2019,1599.02602002383,1617.95624278921
"905","35-50",Sep 2019,1678.69654699444,1618.33602952123
"907","35-50",Oct 2019,1589.527656307,1617.69850751902
"909","35-50",Nov 2019,1596.48026337382,1617.39868916948
"911","35-50",Dec 2019,1709.10939100767,1619.16750842218
"913","35-50",Jan 2020,1615.56203934754,1621.79225450606
"915","35-50",Feb 2020,1590.19004897589,1624.4342959745
"917","35-50",Mar 2020,1624.67240063223,1626.37117612811
"919","35-50",Apr 2020,1590.95021297115,1627.10403951687
"921","35-50",May 2020,1614.043281297,1627.26472708487
"923","35-50",Jun 2020,1628.76030023111,1627.34012557163
"925","35-50",Jul 2020,1641.49432858886,1626.65128100374
"927","35-50",Aug 2020,1628.42414391085,1625.91421782154
"929","35-50",Sep 2020,1695.78354679391,1625.87997728131
"931","35-50",Oct 2020,1590.02937783777,1626.8241900932
"933","35-50",Nov 2020,1599.83504347521,1627.56183875376
"935","35-50",Dec 2020,1707.56417458848,1627.35783750882
"937","35-50",Jan 2021,1600.5749861374,1627.31884378273
"939","35-50",Feb 2021,1587.48758581307,1626.73437098002
"941","35-50",Mar 2021,1626.55309082953,1625.0065505562
"943","35-50",Apr 2021,1611.73063025922,1623.84473968538
"945","35-50",May 2021,1610.96643186246,1623.41219303125
"947","35-50",Jun 2021,1626.94111978702,1622.87692438713
"949","35-50",Jul 2021,1642.37765960675,1622.61991660596
"951","35-50",Aug 2021,1613.5134656281,1622.21079441186
"953","35-50",Sep 2021,1669.22653490483,1620.53991899606
"955","35-50",Oct 2021,1588.70292882721,1617.245481183
"957","35-50",Nov 2021,1590.78037278655,1613.54677640504
"959","35-50",Dec 2021,1703.77239781829,1609.40160540437
"961","35-50",Jan 2022,1598.19857615952,1603.98426260973
"963","35-50",Feb 2022,1580.04506313257,1599.20551032512
"965","35-50",Mar 2022,1593.89460353089,1596.04676714231
"967","35-50",Apr 2022,1565.32261004428,1593.76413197951
"969","35-50",May 2022,1568.6055374065,1591.55050864621
"971","35-50",Jun 2022,1569.81791022685,1589.03808983598
"973","35-50",Jul 2022,1569.48464209563,1587.60912123613
"975","35-50",Aug 2022,1571.71642830857,1586.97385639137
"977","35-50",Sep 2022,1635.21373583693,1586.64151191133
"979","35-50",Oct 2022,1567.93248398785,1587.73952267978
"981","35-50",Nov 2022,1558.42385762671,1590.18159841922
"983","35-50",Dec 2022,1675.8308615325,1593.40962371445
"985","35-50",Jan 2023,1591.84486604894,1597.15308987963
"987","35-50",Feb 2023,1571.15241696893,1601.19722120588
"989","35-50",Mar 2023,1594.81098217362,1605.41710031769
"991","35-50",Apr 2023,1590.75848984429,1609.8337155859
"993","35-50",May 2023,1601.77947535317,1614.38184169393
"995","35-50",Jun 2023,1614.1165793657,1619.14106147607
"997","35-50",Jul 2023,1615.02916092115,1623.86892764438
"999","35-50",Aug 2023,1623.2310613129,1627.79137042355
"1001","35-50",Sep 2023,1684.97620151601,1631.91903302893
